ETABLISSEMENT;PRIVE.PUBLIQUE;DEGRE;DENOMINATION;NOM_ECOLE;STATUT;ADRESSE;VILLE;ADRESS;LATITUDE;LONGITUDE;icon
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;MIGNALOUX BEAUVOIR;NON DEMANDE;185 ROUTE DE LA GARE 86550;MIGNALOUX BEAUVOIR;185 ROUTE DE LA GARE 86550, MIGNALOUX BEAUVOIR;46,53206449;0,417065697;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;PAUL ET GENEVIEVE CHAUSSEBOURG;NON DEMANDE;187 ROUTE DE LA GARE 86550;MIGNALOUX BEAUVOIR;187 ROUTE DE LA GARE 86550, MIGNALOUX BEAUVOIR;46,5426196;0,4145797;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;GEORGES BRASSENS;NON DEMANDE;19 RUE DE LA RAUDIERE 86000;POITIERS;19 RUE DE LA RAUDIERE 86000, POITIERS;46,57211177;0,39181246;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;GEORGES BRASSENS;NON DEMANDE;19 RUE DE LA RAUDIERE 86000;POITIERS;19 RUE DE LA RAUDIERE 86000, POITIERS;46,57211177;0,39181246;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LESIGNY;NON DEMANDE;19 RUE DES ECOLES 86270;LESIGNY;19 RUE DES ECOLES 86270, LESIGNY;46,84967791;0,764744165;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;PAUL PAINLEVE;NON DEMANDE;19 RUE JEAN DAILLE 86100;CHATELLERAULT;19 RUE JEAN DAILLE 86100, CHATELLERAULT;46,8075084;0,5466491;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;LE CEDRE ENCHANTE;NON DEMANDE;19 RUE MAURICE AGUILLON 86110;MIREBEAU;19 RUE MAURICE AGUILLON 86110, MIREBEAU;46,78704364;0,182476703;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;VOULEME;NON DEMANDE;2 ALLEE DE LA MAIRIE 86400;VOULEME;2 ALLEE DE LA MAIRIE 86400, VOULEME;46,0994305;0,231008584;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;JEAN BORIAUD;NON DEMANDE;2 ALLEE DU STADE 86580;BIARD;2 ALLEE DU STADE 86580, BIARD;46,57808745;0,304839096;www/black.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;JULES VERNE;NON DEMANDE;2 ALLEE ERIC TABARLY 86180;BUXEROLLES;2 ALLEE ERIC TABARLY 86180, BUXEROLLES;46,5954255;0,356758524;www/black.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;ENSEMBLE SCOLAIRE SAINT-JACQUES DE COMPOSTELLE;NON DEMANDE;2 AVENUE DE LA REVOLUTION 86036;POITIERS;2 AVENUE DE LA REVOLUTION 86036, POITIERS;46,5853965;0,3818011;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;LA CLE DES CHAMPS;NON DEMANDE;2 BIS RUE DU STADE 86190;VOUILLE;2 BIS RUE DU STADE 86190, VOUILLE;46,6414662;0,16564967;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE;PUY LONCHARD;NON DEMANDE;2 GRAND'RUE 86170;CISSE;ECOLE ELEMENTAIRE PUY LONCHARD, ROUTE DE LONCHARD, LONCHARD, CISSE, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86170, FRANCE;46,6489637;0,260589832;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;ST REMY SUR CREUSE;NON DEMANDE;2 PLACE ANDRE CHICOT 86220;ST REMY SUR CREUSE;2 PLACE ANDRE CHICOT 86220, ST REMY SUR CREUSE;46,9517184;0,695852513;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;SENILLE ST SAUVEUR;NON DEMANDE;2 PLACE DE LA MAIRIE 86100;SENILLE ST SAUVEUR;ECOLE MATERNELLE LES PETITS NOISETIERS, RUE DES LAVOIRS, FOURRAULT, SENILLE, SENILLE-SAINT-SAUVEUR, CHATELLERAULT, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86100, FRANCE;46,77812045;0,613379854;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;QUINCAY;NON DEMANDE;2 PLACE DU CHAMP DE LA BATAILL 86190;QUINCAY;ECOLE MATERNELLE QUINcAY, 2, RUE BUISSONNIERE, QUINcAY, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86190, FRANCE;46,6099451;0,2293202;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;THEODORE MONOD;NON DEMANDE;2 PLACE HENRI HUYARD 86800;ST JULIEN L ARS;35, RUE DE CHAUVIGNY, JEUNE-AVAILLE, SAINT-JULIEN-L'ARS, POITIERS, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86800, FRANCE;46,5585173;0,5115429;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;AUGUSTIN DERNIER;NON DEMANDE;2 PLACE RENE CASSIN 86170;CHAMPIGNY EN ROCHEREAU;2 PLACE RENE CASSIN 86170, CHAMPIGNY EN ROCHEREAU;46,714295;0,1553445;www/black.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;UNION CHRETIENNE DE SAINT-CHAUMOND;NON DEMANDE;2 PLACE SAINTE CROIX 86011;POITIERS;2 PLACE SAINTE CROIX 86011, POITIERS;46,5797671;0,3497453;www/black.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;ISAAC DE RAZILLY;NON DEMANDE;2 RUE ALBERT RENAULT 86330;SAINT-JEAN-DE-SAUVES;2 RUE ALBERT RENAULT 86330, SAINT-JEAN-DE-SAUVES;46,8386257;0,0926167;www/black.png
